"Row #{0}: Item {1} mismatch. Changing of item code is not permitted, add another row instead.",السطر #{0}: عدم تطابق في الصنف {1}. تغيير رمز الصنف غير مسموح به، أضف سطراً آخر بدلاً من ذلك.,
Row #{0}: Overconsumption of Customer Provided Item {1} against Work Order {2} is not allowed in the Subcontracting Inward process.,السطر #{0}: الاستهلاك الزائد للصنف المقدم من العميل {1} مقابل أمر العمل {2} غير مسموح به في عملية التعاقد من الباطن الواردة.,
Row #{0}: Please select the Finished Good Item against which this Customer Provided Item will be used.,السطر #{0}: يرجى تحديد صنف المنتج التام الذي سيتم استخدام هذا الصنف المقدم من العميل مقابله.,
Row #{0}: Repair cost {1} exceeds available amount {2} for Purchase Invoice {3} and Account {4},السطر #{0}: تكلفة الإصلاح {1} تتجاوز المبلغ المتاح {2} لفاتورة الشراء {3} والحساب {4}.,
Row #{0}: Serial No(s) {1} are not a part of the linked Subcontracting Inward Order. Please select valid Serial No(s).,السطر #{0}: الأرقام التسلسلية {1} ليست جزءاً من أمر التعاقد من الباطن الوارد المرتبط. يرجى اختيار أرقام تسلسلية صالحة.,
"Row #{0}: Since 'Track Semi Finished Goods' is enabled, the BOM {1} cannot be used for Sub Assembly Items",السطر #{0}: بما أن 'تتبع السلع شبه المصنعة' مفعل، فلا يمكن استخدام قائمة المواد {1} لأصناف التجميع الفرعي.,
Row #{0}: Source Warehouse must be same as Customer Warehouse {1} from the linked Subcontracting Inward Order,السطر #{0}: يجب أن يكون مستودع المصدر هو نفسه مستودع العميل {1} من أمر التعاقد من الباطن الوارد المرتبط.,
Row #{0}: Source Warehouse {1} for item {2} must be same as Source Warehouse {3} in the Work Order.,السطر #{0}: مستودع المصدر {1} للصنف {2} يجب أن يكون هو نفسه مستودع المصدر {3} في أمر العمل.,
Row #{0}: Target Warehouse must be same as Customer Warehouse {1} from the linked Subcontracting Inward Order,السطر #{0}: يجب أن يكون مستودع الهدف هو نفسه مستودع العميل {1} من أمر التعاقد من الباطن الوارد المرتبط.,
Row #{0}: Work Order exists against full or partial quantity of Item {1},السطر #{0}: يوجد أمر عمل مقابل الكمية الكاملة أو الجزئية للصنف {1}.,
"Row {0}: Consumed Qty {1} {2} must be less than or equal to Available Qty For Consumption
					{3} {4} in Consumed Items Table.","السطر {0}: الكمية المستهلكة {1} {2} يجب أن تكون أقل من أو تساوي الكمية المتاحة للاستهلاك
					{3} {4} في جدول الأصناف المستهلكة.",
Sell quantity cannot exceed the asset quantity. Asset {0} has only {1} item(s).,لا يمكن أن تتجاوز كمية البيع كمية الأصل. الأصل {0} يحتوي على {1} صنف/أصناف فقط.,
Serial No {0} is already Delivered. You cannot use them again in Manufacture / Repack entry.,الرقم التسلسلي {0} تم تسليمه بالفعل. لا يمكنك استخدامه مرة أخرى في قيد تصنيع / إعادة تعبئة.,
Serial Nos {0} are already Delivered. You cannot use them again in Manufacture / Repack entry.,الأرقام التسلسلية {0} تم تسليمها بالفعل. لا يمكنك استخدامها مرة أخرى في قيد تصنيع / إعادة تعبئة.,
Set Incoming Rate as Zero for Expired Batch,تعيين المعدل الوارد كصفر للتشغيلة منتهية الصلاحية,
Short-term Provisions,مخصصات قصيرة الأجل,
Show negative values as positive (for expenses in P&L),إظهار القيم السالبة كموجبة (للمصاريف في قائمة الأرباح والخسائر),
Similar types of workstations where the same operations run in parallel.,أنواع مماثلة من محطات العمل حيث يتم تشغيل نفس العمليات بالتوازي.,
"Simple Python formula applied on Reading fields.<br> Numeric eg. 1: <b>reading_1 &gt; 0.2 and reading_1 &lt; 0.5</b><br>
Numeric eg. 2: <b>mean &gt; 3.5</b> (mean of populated fields)<br>
Value based eg.:  <b>reading_value in (""A"", ""B"", ""C"")</b>","صيغة Python بسيطة تطبق على حقول القراءة.<br> رقمي مثال 1: <b>reading_1 > 0.2 and reading_1 < 0.5</b><br>
رقمي مثال 2: <b>mean > 3.5</b> (متوسط الحقول المملوءة)<br>
بناءً على القيمة مثال: <b>reading_value in (""A"", ""B"", ""C"")</b>",
"Since you have enabled 'Track Semi Finished Goods', at least one operation must have 'Is Final Finished Good' checked. For that set the FG / Semi FG Item as {0} against an operation.",بما أنك قمت بتفعيل 'تتبع السلع شبه المصنعة'، يجب أن يكون لعملية واحدة على الأقل خيار 'هل هو منتج تام نهائي' مفعلاً. لذلك قم بتعيين صنف المنتج التام / شبه التام كـ {0} مقابل العملية.,
"Since {0} are Serial No/Batch No items, you cannot enable 'Recreate Stock Ledgers' in Repost Item Valuation.",بما أن {0} هي أصناف ذات أرقام تسلسلية/أرقام تشغيلات، فلا يمكنك تفعيل 'إعادة إنشاء دفاتر أستاذ المخزون' في إعادة ترحيل تقييم الصنف.,
Skipped {0} DocType(s):<br>{1},تم تخطي {0} من أنواع المستندات:<br>{1},
Solvency Ratios,نسب الملاءة المالية,
Some required Company details are missing. You don't have permission to update them. Please contact your System Manager.,بعض تفاصيل الشركة المطلوبة مفقودة. ليس لديك صلاحية لتحديثها. يرجى الاتصال بمدير النظام الخاص بك.,
Source Warehouse {0} must be same as Customer Warehouse {1} in the Subcontracting Inward Order.,يجب أن يكون مستودع المصدر {0} هو نفسه مستودع العميل {1} في أمر التعاقد من الباطن الوارد.,
"Spending for Account {0} ({1}) between {2} and {3} has already exceeded the new allocated budget. Spent: {4}, Budget: {5}",الإنفاق للحساب {0} ({1}) بين {2} و {3} قد تجاوز بالفعل الميزانية الجديدة المخصصة. المنفق: {4}، الميزانية: {5},
Sub assembly item references are missing. Please fetch the sub assemblies and raw materials again.,مراجع أصناف التجميع الفرعي مفقودة. يرجى جلب التجميعات الفرعية والمواد الخام مرة أخرى.,
Supplier is required for all selected Items,المورد مطلوب لجميع الأصناف المختارة,
"System will do an implicit conversion using the pegged currency. <br>
Ex: Instead of AED -&gt; INR, system will do AED -&gt; USD -&gt; INR using the pegged exchange rate of AED against USD.","سيقوم النظام بإجراء تحويل ضمني باستخدام العملة المربوطة. <br>
مثال: بدلاً من درهم إماراتي -> روبية هندية، سيقوم النظام بتحويل درهم إماراتي -> دولار أمريكي -> روبية هندية باستخدام سعر الصرف المربوط للدرهم الإماراتي مقابل الدولار الأمريكي.",
